,id,question,version,time_elapsed,proof,score,pilot,order,questionText,reasoning,cues,steps,reasonCorrect,understanding,misconception,questionType,reason
278,capybara,qID-2,B,32.951,S1_IN2,1.0,0,3,conclude KL congruent to KM? [2],"not the same segments, different # ticks","construction, tick marks",,right,"geometric, direct lookup",,4.0,1
279,capybara,qID-1,B,38.969,S1_IN2,1.0,0,3,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],yes because lines are congruent to themselves,"reason definition, earlier proof steps (text)",,right,geometric,,5.0,1
281,capybara,qID-11,B,37.255,S1_IN3,0.0,0,4,Is there a mistake? [11],"thought quad == rectangle, didn't catch that right angles were not necessarily congruent","construction, tick marks, all proof text",,wrong,geometric,,1.0,0
282,capybara,qID-3,B,16.806,S1_IN3,1.0,0,4,conclude KN congruent to ML? [3],yes because construction/given says so,"tick marks, construction, given",,right,"geometric, direct lookup",,4.0,1
284,capybara,qID-11,B,18.316,S1_IN1,1.0,0,5,Is there a mistake? [11],recognized SAS was an odd choice and that DB=DB wasn't stated,,,right,geometric,,1.0,1
285,capybara,qID-12,B,8.761,S1_IN1,1.0,0,5,Which step is wrong? [12],step 4 bc SAS,,,right,geometric,,2.0,1
286,capybara,qID-13,B,9.262,S1_IN1,0.0,0,5,Describe reasoning [13],thought that SSA should be used,,,wrong,geometric,SSA not triangle congruence theorem,3.0,0
287,capybara,qID-3,B,73.42,S1_IN1,1.0,0,5, conclude <DBA congruent to <BCD? [3],angles not necessarily congruent,"tick marks, construction",,right,"geometric, direct lookup",,4.0,1
288,capybara,qID-2,B,27.758,S1_IN1,1.0,0,5,conclude BA congruent to CB? [2],different # of ticks,"tick marks, construction",,right,"geometric, direct lookup",,4.0,1
290,capybara,qID-11,B,39.541,S2_IN2,0.0,0,6,Is there a mistake? [11],"thought <Y=<X instead of <Y=<W would be the normal thing to do. without tick marks thought that the visual squareness of the construction meant that an exception could be made. ""don't like it, but I don't see why it would be wrong""","construction, all proof text",,wrong,geometric,was mislead by the visual appearance of the construction (everything looks congruent),1.0,0
291,capybara,qID-2,B,23.237,S2_IN2,0.0,0,6,conclude <MYZ congruent to <MWX? [2],because the proof says so,statement text,,wrong,"geometric, direct lookup",,4.0,0
292,capybara,qID-1,B,101.553,S2_IN2,0.0,0,6,enough info...Alternate Interior Angles (Converse) (step 8) bw steps 2 and 3? [1],thinks it would still work knowing just the midpoints,"earlier proof steps (text), construction",,wrong,geometric,,5.0,0
294,capybara,qID-11,B,49.98,S2_IN1,0.0,0,7,Is there a mistake? [11],didn't realize that step 8 didn't originate from triangles that were already demonstrated to be congruent,"construction, all proof text",,wrong,geometric,,1.0,0
295,capybara,qID-2,B,21.647,S2_IN1,0.0,0,7,conclude tLNU congruent to tUQL? [2],because ASA has already been used there's beforehand there's enough information,"earlier proof steps (text), construction",,wrong,geometric,confused about which triangles had been proven congruent by ASA,4.0,0
297,capybara,qID-11,B,1.16,S2_C2,3.0,0,8,Is there a mistake? [11],proof matched expectations of how they would approach the proof themselves,,,right,geometric,,1.0,1
298,capybara,qID-1,B,20.133,S2_C2,1.0,0,8,enough info...SAS Triangle Congruence (step 9) bw steps 7 and 8? [1],need that AB=BC before using SAS,earlier proof steps (text),,right,geometric,,5.0,1
299,capybara,qID-2,B,43.001,S2_C2,1.0,0,8,conclude <BAF congruent to <DCB? [2],they're different angles,"construction, tick marks",,right,"geometric, direct lookup",,4.0,1
315,rhino,qID-11,A,5.901,S1_IN3,0.0,0,1,Is there a mistake? [11],"no idea, didn't notice the inconsistency after viewing step 3. jumped straight to step 5 initially","reason definition, construction, tick marks, all proof text","step 5, step 3",wrong,guess,post-hoc said they didn't know how to find a mistake so they said no for every proof,1.0,0
316,rhino,qID-3,A,24.918,S1_IN3,1.0,0,1,conclude KN congruent to ML? [3],yes bc they're the same line,"construction, tick marks",step 5,right,"geometric, direct lookup",,4.0,1
318,rhino,qID-11,A,3.631,S1_IN2,1.0,0,2,Is there a mistake? [11],"saw red inconsistency at step 5, still isn't sure why proof is wrong","inconsistency, relies on","step 5, step 3, step 4",wrong,direct lookup,assumed that the problem was with reflexive property because of the red inconsistency,1.0,0
319,rhino,qID-12,A,28.056,S1_IN2,0.0,0,2,Which step is wrong? [12],picked step 4 because of the question and also thinks there's a missing step,"relies on, inconsistency",step 5,wrong,direct lookup,assumed that the problem was with reflexive property because of the red inconsistency,2.0,0
320,rhino,qID-13,A,75.926,S1_IN2,0.0,0,2,Describe reasoning [13],need JM and ML to be congruent,"construction, tick marks",step 5,wrong,geometric,doesn't recognize RHL or the fact that AAS was the wrong reason to use in the first place,3.0,0
321,rhino,qID-1,A,12.772,S1_IN2,1.0,0,2,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],yes bc enough info for reflexive,earlier proof steps (text),step 5,right,geometric,,5.0,1
322,rhino,qID-2,A,16.073,S1_IN2,1.0,0,2,conclude KL congruent to KM? [2],no bc different lines,"construction, tick marks",step 5,right,"geometric, direct lookup",,4.0,1
324,rhino,qID-11,A,13.321,S1_C2,3.0,0,3,Is there a mistake? [11],"no, no reasoning",,step 9,wrong,guess,post-hoc said they didn't know how to find a mistake so they said no for every proof,1.0,0
325,rhino,qID-3,A,72.86,S1_C2,1.0,0,3,enough info...Congruent Adjacent Angles at step 5? [3],"yes, thinks that congruent adjacent angles needs to know AD and DC are the same length",,step 5,wrong,geometric,thinks that adj-angles needs to be based on congruent segments,5.0,0
326,rhino,qID-4,A,25.774,S1_C2,1.0,0,3,enough info...ASA at step 7? [4],"yes, no reason expressed",,step 7,unknown,,,5.0,0
328,rhino,qID-11,A,44.481,S1_IN1,0.0,0,4,Is there a mistake? [11],no reasoning,,step 5,wrong,guess,post-hoc said they didn't know how to find a mistake so they said no for every proof,1.0,0
329,rhino,qID-3,A,14.895,S1_IN1,0.0,0,4, conclude <DBA congruent to <BCD? [3],no reasoning,,step 5,unknown,unknown,,4.0,0
330,rhino,qID-2,A,10.459,S1_IN1,1.0,0,4,conclude BA congruent to CB? [2],same # ticks,,step 5,unknown,unknown,,4.0,0
332,rhino,qID-11,A,6.515,S1_C1,3.0,0,5,Is there a mistake? [11],no reasoning,,step 7,wrong,guess,post-hoc said they didn't know how to find a mistake so they said no for every proof,1.0,0
333,rhino,qID-2,A,18.003,S1_C1,0.0,0,5,enough info...Vertical Angles Theorem (step 4) bw steps 1 and 2? [2],yes bc reflexive is always true,,step 4,right,"geometric, direct lookup",,5.0,1
334,rhino,qID-3,A,50.505,S1_C1,0.0,0,5,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],yes bc you can see enough tick marks on the diagram,"tick marks, construction",step 5,wrong,"geometric, direct lookup","visually determining if lines and angles are the same length, mislead bc there were enough tick marks at step 5 but there wouldn't have been after step 3",5.0,0
336,rhino,qID-11,A,18.718,S2_IN2,0.0,0,6,Is there a mistake? [11],no reasoning,,step 8,wrong,guess,post-hoc said they didn't know how to find a mistake so they said no for every proof,1.0,0
337,rhino,qID-1,A,40.915,S2_IN2,0.0,0,6,enough info...Alternate Interior Angles (Converse) (step 8) bw steps 2 and 3? [1],YX WZ are the same length and is the same and WX and YZ have to be the same length,"construction, tick marks",step 8,wrong,geometric,visually determining if lines and angles are the same length,5.0,0
338,rhino,qID-2,A,45.472,S2_IN2,0.0,0,6,conclude <MYZ congruent to <MWX? [2],yes because all the angles are the same,"construction, tick marks",step 8,wrong,geometric,visually determining if lines and angles are the same length,4.0,0
340,rhino,qID-11,A,2.342,S2_C2,3.0,0,7,Is there a mistake? [11],no reasoning,,step 10,wrong,guess,post-hoc said they didn't know how to find a mistake so they said no for every proof,1.0,0
341,rhino,qID-1,A,36.786,S2_C2,1.0,0,7,enough info...SAS Triangle Congruence (step 9) bw steps 7 and 8? [1],no bc need to know AB and BC are congruent before you can use SAS,"construction, relies on, earlier proof steps (text)",step 9,right,"geometric, direct lookup",,5.0,1
342,rhino,qID-2,A,54.444,S2_C2,1.0,0,7,conclude <BAF congruent to <DCB? [2],no bc tick marks are different and FB doesn't equal DC,"construction, tick marks",step 10,right,"geometric, direct lookup",,4.0,1
344,rhino,qID-11,A,11.491,S2_IN1,0.0,0,8,Is there a mistake? [11],"no reasoning ""i can never tell if there's a mistake, it's hard to go through and see how to get to it""",,step 9,wrong,guess,post-hoc said they didn't know how to find a mistake so they said no for every proof,1.0,0
345,rhino,qID-2,A,99.687,S2_IN1,0.0,0,8,conclude tLNU congruent to tUQL? [2],yes bc you have congruent sides and 1 angle which is enough to prove,"construction, tick marks",step 9,wrong,"geometric, direct lookup",visually determining if lines and angles are the same length,4.0,0
361,hippo,qID-11,B,3.369,S1_IN2,1.0,0,1,Is there a mistake? [11],thought the issue was AAS should be SSS,"construction, all proof text",,wrong,geometric,used some information that wasn't in the proof (what visually appeared true) to justify using SSS,1.0,0
362,hippo,qID-12,B,54.875,S1_IN2,1.0,0,1,Which step is wrong? [12],step 5,,,right,geometric,,2.0,1
363,hippo,qID-13,B,33.387,S1_IN2,0.0,0,1,Describe reasoning [13],wants to use SSA to fix,"construction, all proof text",,wrong,geometric,,3.0,0
364,hippo,qID-2,B,12.064,S1_IN2,1.0,0,1,conclude KL congruent to KM? [2],not enough proof,"tick marks, construction",,right,"geometric, direct lookup",,4.0,1
365,hippo,qID-1,B,25.076,S1_IN2,1.0,0,1,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],line can be reflexive with itself,earlier proof steps (text),,right,geometric,,5.0,1
367,hippo,qID-11,B,26.693,S1_C1,3.0,0,2,Is there a mistake? [11],everything checked out after redrawing all the steps on scratch paper,"construction, all proof text, tick marks, redraw",,right,geometric,,1.0,1
368,hippo,qID-3,B,16.237,S1_C1,1.0,0,2,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],need vertical angles for SAS,earlier proof steps (text),,right,geometric,,5.0,1
369,hippo,qID-2,B,22.786,S1_C1,1.0,0,2,enough info...Vertical Angles Theorem (step 4) bw steps 1 and 2? [2],lines are intersecting so there's enough info,earlier proof steps (text),,right,geometric,,5.0,1
371,hippo,qID-11,B,140.021,S1_IN1,1.0,0,3,Is there a mistake? [11],CPCTC is claiming the wrong angles are congruent after redrawing triangles,"construction, tick marks, all proof text, redraw",,wrong,geometric,convinced that SAS was correctly applied and then incorrectly visualized the triangles rotating and mixed up which parts of triangles were corresponding,1.0,0
372,hippo,qID-12,B,3.55,S1_IN1,0.0,0,3,Which step is wrong? [12],step 5,"construction, all proof text",,wrong,geometric,,2.0,0
373,hippo,qID-13,B,55.487,S1_IN1,0.0,0,3,Describe reasoning [13],doesn't think proof can be corrected,"all proof text, construction",,wrong,,incorrectly visualized the triangles rotating and mixed up which angles were corresponding,3.0,0
374,hippo,qID-2,B,15.435,S1_IN1,1.0,0,3,conclude BA congruent to CB? [2],not same # ticks,"tick marks, construction",,right,"geometric, direct lookup",,4.0,1
375,hippo,qID-3,B,22.308,S1_IN1,1.0,0,3, conclude <DBA congruent to <BCD? [3],not same # ticks,"tick marks, construction",,right,"geometric, direct lookup",,4.0,1
377,hippo,qID-11,B,105.749,S1_IN3,0.0,0,4,Is there a mistake? [11],visualized the construction mirroring over MK to check if congruent,"construction, all proof text, redraw",,wrong,geometric,assumed that things are congruent based on visual appearance in construction,1.0,0
378,hippo,qID-3,B,20.309,S1_IN3,1.0,0,4,conclude KN congruent to ML? [3],yes because it's given,"tick marks, given",,right,"geometric, direct lookup",,4.0,1
380,hippo,qID-11,B,50.019,S1_C2,0.0,0,5,Is there a mistake? [11],"thought that the naming of angles in step 3 were incorrect, didn't read past step 3","statement text, construction",,wrong,geometric,thinks that naming of congruent angles should match their corresponding points,1.0,0
381,hippo,qID-12,B,4.941,S1_C2,0.0,0,5,Which step is wrong? [12],step 3,statement text,,wrong,geometric,thinks that naming of congruent angles should match their corresponding points,2.0,0
382,hippo,qID-13,B,32.07,S1_C2,0.0,0,5,Describe reasoning [13],"the order of points should perfectly match between the two angles, so <ABD=<CBD instead of <ABD=<DBC",statement text,,wrong,geometric,thinks that when 2 angles are named as congruent the ordering of points in their names must exactly match,3.0,0
383,hippo,qID-3,B,76.699,S1_C2,1.0,0,5,enough info...Congruent Adjacent Angles at step 5? [3],yes bc lines are perpendicular,"earlier proof steps (text), construction",,right,geometric,,5.0,1
384,hippo,qID-4,B,25.419,S1_C2,1.0,0,5,enough info...ASA at step 7? [4],yes bc reqs for ASA are met,"earlier proof steps (text), construction, tick marks",,right,geometric,,5.0,1
386,hippo,qID-11,B,6.844,S2_IN1,0.0,0,6,Is there a mistake? [11],checked over whole proof and thought that there was no issue,"all proof text, construction, redraw",,wrong,geometric,took step 8 at face value,1.0,0
387,hippo,qID-2,B,7.496,S2_IN1,0.0,0,6,conclude tLNU congruent to tUQL? [2],thought proof was right,"all proof text, construction",,wrong,geometric,"took step 8 at face value, thought proof was correct as result",4.0,0
389,hippo,qID-11,B,1.87,S2_IN2,0.0,0,7,Is there a mistake? [11],redrew the construction and didn't notice that the angles in step 7 are not necessarily equal,"all proof text, redraw",,wrong,geometric,incorrectly redrew and visualized the construction and took step 7 at face value,1.0,0
390,hippo,qID-2,B,7.07,S2_IN2,0.0,0,7,conclude <MYZ congruent to <MWX? [2],bc proof is correct and it is statement 7 in the proof,all proof text,,wrong,geometric,thinks proof is correct,4.0,0
391,hippo,qID-1,B,55.893,S2_IN2,1.0,0,7,enough info...Alternate Interior Angles (Converse) (step 8) bw steps 2 and 3? [1],not enough information established yet,earlier proof steps (text),,right,geometric,,5.0,1
393,hippo,qID-11,B,74.944,S2_C2,0.0,0,8,Is there a mistake? [11],"ABD not same as BCD, same as CBD",statement text,,wrong,geometric,initially looks at what visually appears to be true and if naming is inconsistent then it throws them off. after carefully explaining their reasoning they realized that the 2 triangles were actually the same.,1.0,0
394,hippo,qID-12,B,8.244,S2_C2,0.0,0,8,Which step is wrong? [12],step 7,statement text,,wrong,geometric,thinks that naming of congruent triangles should match their corresponding points,2.0,0
395,hippo,qID-13,B,16.784,S2_C2,0.0,0,8,Describe reasoning [13],change step 7 to ABD=CBD,statement text,,wrong,geometric,thinks that naming of congruent triangles should match their corresponding points,3.0,0
396,hippo,qID-1,B,36.827,S2_C2,1.0,0,8,enough info...SAS Triangle Congruence (step 9) bw steps 7 and 8? [1],still need AB=BC,earlier proof steps (text),,right,geometric,,5.0,1
397,hippo,qID-2,B,123.29,S2_C2,1.0,0,8,conclude <BAF congruent to <DCB? [2],"though visually they think it's true, the angles were not established to be congruent within the proof","construction, all proof text",,right,geometric,,4.0,1
413,giraffe,qID-11,A,30.166,S1_C2,3.0,0,1,Is there a mistake? [11],no mistake,"construction, all proof text, relies on",,right,geometric,,1.0,1
414,giraffe,qID-4,A,23.175,S1_C2,1.0,0,1,enough info...ASA at step 7? [4],yes bc ASA conditions are met,"construction, relies on, all proof text, tick marks",step 7,right,"geometric, direct lookup",,5.0,1
415,giraffe,qID-3,A,26.024,S1_C2,1.0,0,1,enough info...Congruent Adjacent Angles at step 5? [3],yes bc lines are perp,"construction, relies on, tick marks, all proof text",step 5,right,"geometric, direct lookup",,5.0,1
417,giraffe,qID-11,A,35.724,S1_IN1,1.0,0,2,Is there a mistake? [11],yes there's a problem with using SAS,"construction, tick marks, reason definition, all proof text, relies on, inconsistency",step 5,right,"geometric, direct lookup",,1.0,1
418,giraffe,qID-12,A,8.451,S1_IN1,1.0,0,2,Which step is wrong? [12],step 4 bc SAS is the wrong reason,"construction, inconsistency, tick marks",step 5,right,"geometric, direct lookup",,2.0,1
419,giraffe,qID-13,A,24.196,S1_IN1,0.0,0,2,Describe reasoning [13],use SSA as a fix because the angle is wrong,,,wrong,geometric,SSA not triangle congruence theorem,3.0,0
420,giraffe,qID-2,A,20.805,S1_IN1,0.0,0,2,conclude BA congruent to CB? [2],"no reasoning, looked at construction, maybe misreading",construction,step 5,wrong,unknown,,4.0,0
421,giraffe,qID-3,A,15.75,S1_IN1,0.0,0,2, conclude <DBA congruent to <BCD? [3],"no reasoning, looked at construction, maybe misreading",construction,step 5,wrong,unknown,,4.0,0
423,giraffe,qID-11,A,1.41,S1_C1,3.0,0,3,Is there a mistake? [11],"no mistake, no issues","construction, all proof text, relies on",step 7,right,geometric,,1.0,1
424,giraffe,qID-2,A,19.636,S1_C1,0.0,0,3,enough info...Vertical Angles Theorem (step 4) bw steps 1 and 2? [2],thought congruence was needed for vertical angles,,step 4,wrong,geometric,,5.0,0
425,giraffe,qID-3,A,30.233,S1_C1,0.0,0,3,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],"no reasoning, speeding",,step 5,wrong,unknown,,5.0,0
427,giraffe,qID-11,A,2.677,S1_IN3,1.0,0,4,Is there a mistake? [11],problem is that quad != rectangle,"inconsistency, construction, tick marks, all proof text",step 4,right,"geometric, direct lookup",,1.0,1
428,giraffe,qID-12,A,3.027,S1_IN3,1.0,0,4,Which step is wrong? [12],step 4 bc quad != rect,"inconsistency, tick marks",step 4,right,"geometric, direct lookup",,2.0,1
429,giraffe,qID-13,A,14.488,S1_IN3,1.0,0,4,Describe reasoning [13],can't be fixed without changing givens,"given, construction",step 4,right,geometric,,3.0,1
430,giraffe,qID-3,A,18.269,S1_IN3,1.0,0,4,conclude KN congruent to ML? [3],yes bc same ticks,"construction, tick marks",step 4,right,"geometric, direct lookup",,4.0,1
432,giraffe,qID-11,A,2.089,S1_IN2,1.0,0,5,Is there a mistake? [11],AAS is the wrong theorem to use,"inconsistency, relies on, construction, all proof text",step 5,right,"geometric, direct lookup",,1.0,1
433,giraffe,qID-12,A,10.821,S1_IN2,1.0,0,5,Which step is wrong? [12],step 5 bc AAS is not correct triangle congruence theorem,"construction, tick marks",step 5,right,geometric,,2.0,1
434,giraffe,qID-13,A,50.533,S1_IN2,0.0,0,5,Describe reasoning [13],"can't remember if SSA is valid theorem, if it was it could be used","construction, tick marks",step 5,wrong,geometric,SSA not triangle congruence theorem,3.0,0
435,giraffe,qID-1,A,7.087,S1_IN2,1.0,0,5,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],reflexive can be applied anywhere,,step 4,right,geometric,,5.0,1
436,giraffe,qID-2,A,29.086,S1_IN2,1.0,0,5,conclude KL congruent to KM? [2],no bc different lines,"construction, tick marks",step 4,right,"geometric, direct lookup",,4.0,1
438,giraffe,qID-11,A,87.196,S2_IN2,0.0,0,6,Is there a mistake? [11],can't see what the problem is even though they know there's an inconsistency,"construction, tick marks, inconsistency",,wrong,geometric,"thinks CPCTC is correctly applied, assuming that all the angles are congruent to each other",1.0,0
439,giraffe,qID-1,A,21.163,S2_IN2,0.0,0,6,enough info...Alternate Interior Angles (Converse) (step 8) bw steps 2 and 3? [1],"no reasoning, speeding",,step 2,wrong,unknown,,5.0,0
440,giraffe,qID-2,A,34.316,S2_IN2,1.0,0,6,conclude <MYZ congruent to <MWX? [2],recognizes which angles should be the correct pair,"construction, tick marks",step 8,right,"geometric, direct lookup",,4.0,1
442,giraffe,qID-11,A,2.194,S2_IN1,1.0,0,7,Is there a mistake? [11],"sees the inconsistency, took a while to understand what was wrong. but yes, bc the angles can't be established at step 8","tick marks, construction, inconsistency, all proof text",step 8,right,"geometric, direct lookup",,1.0,1
443,giraffe,qID-12,A,6.678,S2_IN1,1.0,0,7,Which step is wrong? [12],step 8 bc the triangles are not congruent yet,"inconsistency, construction, tick marks",step 8,right,"geometric, direct lookup",,2.0,1
444,giraffe,qID-13,A,46.611,S2_IN1,1.0,0,7,Describe reasoning [13],could use reflexive and SAS,"construction, tick marks",step 1,right,geometric,,3.0,1
445,giraffe,qID-2,A,5.491,S2_IN1,0.0,0,7,conclude tLNU congruent to tUQL? [2],speeding and no reasoning,,step 1,wrong,unknown,,4.0,0
447,giraffe,qID-11,A,3.032,S2_C2,3.0,0,8,Is there a mistake? [11],no issues,"construction, relies on, all proof text",,right,geometric,,1.0,1
448,giraffe,qID-2,A,45.924,S2_C2,1.0,0,8,conclude <BAF congruent to <DCB? [2],not the same angles,construction,,right,"geometric, direct lookup",,4.0,1
449,giraffe,qID-1,A,11.709,S2_C2,0.0,0,8,enough info...SAS Triangle Congruence (step 9) bw steps 7 and 8? [1],"checked step 7 instead of step 9, speeding","construction, earlier proof steps (text)",step 7,wrong,geometric,checked SAS at step 7 instead of step 9,5.0,0
465,eagle,qID-11,B,77.375,S1_C1,3.0,0,1,Is there a mistake? [11],"everything check out, not 100% confident","construction, all proof text",,right,geometric,,1.0,1
466,eagle,qID-2,B,25.797,S1_C1,1.0,0,1,enough info...Vertical Angles Theorem (step 4) bw steps 1 and 2? [2],step 1 mentions intersection so there is enough info,"earlier proof steps (text), reason definition",,right,geometric,,5.0,1
467,eagle,qID-3,B,23.26,S1_C1,0.0,0,1,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],thought that vertical angles had already been used,earlier proof steps (text),,wrong,geometric,assumed vertical angles had been established already,5.0,0
469,eagle,qID-11,B,29.064,S1_C2,0.0,0,2,Is there a mistake? [11],yes for unclear reasons,"construction, all proof text",,wrong,"geometric, guess",can't tell what the exact misconception is at this point,1.0,0
470,eagle,qID-12,B,69.96,S1_C2,0.0,0,2,Which step is wrong? [12],"step 8 bc CPCTC talks about triangles while AD=DC is about segments, thinks there is mismatch between statement and the reason used","reason definition, construction, all proof text",,wrong,"geometric, guess",doesn't understand definition of CPCTC,2.0,0
473,eagle,qID-11,B,10.623,S1_IN3,0.0,0,3,Is there a mistake? [11],"no, didn't catch any issues, thought def. quad was fine","reason definition, all proof text, construction",,wrong,geometric,thought quad == rectangle,1.0,0
474,eagle,qID-3,B,15.422,S1_IN3,1.0,0,3,conclude KN congruent to ML? [3],thinks so,"tick marks, construction",,right,"geometric, direct lookup",,4.0,1
476,eagle,qID-11,B,2.301,S1_IN2,0.0,0,4,Is there a mistake? [11],"no, checked what AAS looked like but didn't realize that the proof hadn't established AAS","reason definition, reason def (illustration), construction, all proof text",,wrong,geometric,didn't keep track of whether AAS was the right reason to use,1.0,0
477,eagle,qID-1,B,26.418,S1_IN2,1.0,0,4,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],"yes, any fig congruent with itself","reason definition, construction",,right,geometric,,5.0,1
478,eagle,qID-2,B,44.999,S1_IN2,1.0,0,4,conclude KL congruent to KM? [2],"knows they are different lines, wasn't sure of answer","construction, tick marks",,right,"geometric, guess",,4.0,1
480,eagle,qID-11,B,1.68,S1_IN1,0.0,0,5,Is there a mistake? [11],"no, bc thinks all angles and sides match up so SAS and CPCTC are fine to use","tick marks, construction, all proof text, reason definition",,wrong,geometric,thought all angles and sides are congruent,1.0,0
481,eagle,qID-2,B,39.205,S1_IN1,0.0,0,5,conclude BA congruent to CB? [2],thinks that the segments could be congruent because of mirroring over the DB segment,"tick marks, construction",,wrong,"geometric, guess",thinks all angles and sides are congruent,4.0,0
482,eagle,qID-3,B,32.231,S1_IN1,0.0,0,5, conclude <DBA congruent to <BCD? [3],yes bc thinks all lines and angles are equivalent,"tick marks, construction, all proof text",,wrong,geometric,thinks all angles and sides are congruent,4.0,0
484,eagle,qID-11,B,2.459,S2_IN1,0.0,0,6,Is there a mistake? [11],"didn't catch mistake during read-through, losing track of their place while reading the proof","reason definition, construction, all proof text",,wrong,geometric,didn't catch the mistake,1.0,0
485,eagle,qID-2,B,14.26,S2_IN1,0.0,0,6,conclude tLNU congruent to tUQL? [2],based answer on read-through,construction,,wrong,geometric,,4.0,0
487,eagle,qID-11,B,1.842,S2_IN2,0.0,0,7,Is there a mistake? [11],"misread <MYZ=<MWX as <MZY=<MWX, so missed the mistake, otherwise followed the proof","tick marks, construction, reason definition, all proof text",,wrong,geometric,traced the wrong angles which influenced their reasoning,1.0,0
488,eagle,qID-2,B,15.954,S2_IN2,0.0,0,7,conclude <MYZ congruent to <MWX? [2],traced correct angles but still thought that they were congruent,construction,,wrong,geometric,traced the correct angles but believed that they visually looked correct,4.0,0
489,eagle,qID-1,B,39.991,S2_IN2,0.0,0,7,enough info...Alternate Interior Angles (Converse) (step 8) bw steps 2 and 3? [1],thinks that there is enough information based on only the setup (i.e. it looks like there are 2 parallel lines with a transversal so it must be possible to move the step),construction,,wrong,geometric,thinks that having a visually correct setup is enough to prove that the lines are parallel,5.0,0
491,eagle,qID-11,B,1.92,S2_C2,3.0,0,8,Is there a mistake? [11],"no, nothing caught their attention","construction, tick marks, all proof text, reason definition",,right,geometric,,1.0,1
492,eagle,qID-1,B,33.082,S2_C2,0.0,0,8,enough info...SAS Triangle Congruence (step 9) bw steps 7 and 8? [1],got tripped up on whether AB=BC was correct or if it needed to be named AB=CB to match the orientation of points. ,,,wrong,"geometric, guess",,5.0,0
493,eagle,qID-2,B,13.938,S2_C2,0.0,0,8,conclude <BAF congruent to <DCB? [2],traced out <BCG instead of <DCB,"tick marks, construction",,wrong,"geometric, direct lookup",,4.0,0
509,peacock,qID-11,A,2.546,S1_IN2,1.0,0,1,Is there a mistake? [11],"using AAS is wrong, didn't match up with what they were keeping track of while reading the proof","construction, tick marks, inconsistency, all proof text",step 5,right,geometric,,1.0,1
510,peacock,qID-12,A,11.826,S1_IN2,1.0,0,1,Which step is wrong? [12],step 5 bc AAS is wrong,all proof text,step 5,right,geometric,,2.0,1
511,peacock,qID-13,A,86.015,S1_IN2,1.0,0,1,Describe reasoning [13],"know angle K is bisected by MK, delete reflexive step, then you can use AAS ","construction, all proof text",step 5,right,geometric,,3.0,1
512,peacock,qID-2,A,12.98,S1_IN2,1.0,0,1,conclude KL congruent to KM? [2],different lines,construction,step 1,right,"geometric, direct lookup",,4.0,1
513,peacock,qID-1,A,42.118,S1_IN2,1.0,0,1,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],yes bc reflexive can go anywhere,,step 1,right,geometric,,5.0,1
515,peacock,qID-11,A,8.858,S1_IN1,1.0,0,2,Is there a mistake? [11],yes bc step 4 tries to use SAS,"construction, inconsistency, all proof text",step 4,right,geometric,,1.0,1
516,peacock,qID-12,A,6.129,S1_IN1,1.0,0,2,Which step is wrong? [12],step 4 uses SAS,"construction, inconsistency, all proof text",step 4,right,geometric,,2.0,1
517,peacock,qID-13,A,25.086,S1_IN1,1.0,0,2,Describe reasoning [13],reflexive BD and use SAS,"construction, tick marks",step 4,right,geometric,,3.0,1
518,peacock,qID-3,A,14.926,S1_IN1,1.0,0,2, conclude <DBA congruent to <BCD? [3],not enough info,"construction, tick marks",step 4,right,"geometric, direct lookup",,4.0,1
519,peacock,qID-2,A,19.493,S1_IN1,1.0,0,2,conclude BA congruent to CB? [2],not enough to prove equilateral triangles,"construction, tick marks",step 4,right,"geometric, direct lookup",,4.0,1
522,peacock,qID-3,A,24.716,S1_C1,1.0,0,3,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],not enough information,"construction, earlier proof steps (text)",step 7,right,geometric,,5.0,1
523,peacock,qID-2,A,19.177,S1_C1,1.0,0,3,enough info...Vertical Angles Theorem (step 4) bw steps 1 and 2? [2],"yes, bc just need intersecting lines","construction, earlier proof steps (text)",step 7,right,geometric,,5.0,1
525,peacock,qID-11,A,2.51,S1_C2,3.0,0,4,Is there a mistake? [11],proof looks right,"construction, tick marks, all proof text",step 7,right,geometric,,1.0,1
526,peacock,qID-4,A,21.7,S1_C2,1.0,0,4,enough info...ASA at step 7? [4],enough info for ASA,"relies on, earlier proof steps (text)",step 6,right,"geometric, direct lookup",,5.0,1
527,peacock,qID-3,A,20.026,S1_C2,1.0,0,4,enough info...Congruent Adjacent Angles at step 5? [3],"would have that the lines are perp, so yes","relies on, earlier proof steps (text)",step 4,right,"geometric, direct lookup",,5.0,1
529,peacock,qID-11,A,8.868,S1_IN3,1.0,0,5,Is there a mistake? [11],needs some steps to get there because def quad is not right reason,"construction, inconsistency, all proof text",step 4,right,geometric,,1.0,1
